eva,pc,var,pfr.kgr,psr.kgr,par.kgr,pfa.kgr,psa.kgr,paa.kgr,L de raices.km,dano
6,sano,nabal,0.0701,0.0405,0.0296,0.111,0.0445,0.0665,4.16834,0
7,enfermo,antillano,0.0318,0.0152,0.0166,0.0478,0.0288,0.019,0.20809,0.95
7,enfermo,antillano,0.0938,0.0415,0.0523,0.1708,0.0955,0.0753,1.27712,0.9
7,enfermo,antillano,0.1148,0.0393,0.0755,0.1728,0.0956,0.0772,2.16654,0.6
7,enfermo,antillano,0.0628,0.0271,0.0357,0.1208,0.0661,0.0547,0.6811,0.85
7,enfermo,antillano,0.0718,0.0333,0.0385,0.1468,0.0537,0.0931,0.90879,0.8
7,enfermo,antillano,0.0163,0.0144,0.0019,0.0325,0.0288,0.0037,0.14672,0.85
7,enfermo,mexicano,0.0598,0.0268,0.033,0.1538,0.0805,0.0733,1.08171,0.65
7,enfermo,mexicano,0.0304,0.0242,0.0062,0.0148,0.0131,0.0017,0.55493,0.8
7,enfermo,mexicano,0.0301,0.0239,0.0062,0.0152,0.0131,0.0021,0.44197,0.7
7,enfermo,mexicano,0.0148,0.0129,0.0019,0.0368,0.0289,0.0079,0.39864,0.02
7,enfermo,mexicano,0.0176,0.0151,0.0025,0.0313,0.0268,0.0045,0.55319,0.41
7,enfermo,mexicano,0.0308,0.0144,0.0164,0.0728,0.0462,0.0266,0.56504,0.95
7,enfermo,zutano,0.0768,0.0375,0.0393,0.1908,0.0901,0.1007,1.58364,0.65
7,enfermo,zutano,0.0828,0.0491,0.0337,0.1928,0.1123,0.0805,1.30604,0.55
7,enfermo,zutano,0.0748,0.0408,0.034,0.2178,0.0961,0.1217,0.62031,0.65
7,enfermo,zutano,0.0361,0.0323,0.0038,0.0159,0.0145,0.0014,0.55089,0.8
7,enfermo,zutano,0.0241,0.0136,0.0105,0.0613,0.0378,0.0235,0.13319,0.95
7,enfermo,zutano,0.0332,0.0164,0.0168,0.0893,0.0569,0.0324,0.23406,0.9
7,enfermo,nabal,0.0738,0.0336,0.0402,0.1788,0.0968,0.082,1.26565,0.6
7,enfermo,nabal,0.0578,0.0238,0.034,0.0888,0.0395,0.0493,0.74477,0.75
7,enfermo,nabal,0.0858,0.0413,0.0445,0.2138,0.1218,0.092,1.42083,0.55
7,enfermo,nabal,0.0588,0.0315,0.0273,0.1868,0.0858,0.101,0.99967,0.6
7,enfermo,nabal,0.0358,0.0193,0.0165,0.0548,0.0288,0.026,0.48812,0.95
7,enfermo,nabal,0.0428,0.0258,0.017,0.1238,0.056,0.0678,0.3474,0.75
7,sano,antillano,0.1318,0.0388,0.093,0.1248,0.0451,0.0797,2.73307,0
7,sano,antillano,0.1078,0.0395,0.0683,0.1638,0.0628,0.101,2.06322,0
7,sano,antillano,0.0598,0.0246,0.0352,0.0678,0.0258,0.042,0.95375,0
7,sano,antillano,0.1248,0.0488,0.076,0.1908,0.0728,0.118,2.40591,0
7,sano,antillano,0.1898,0.0628,0.127,0.1888,0.0731,0.1157,3.18285,0
7,sano,antillano,0.1888,0.0699,0.1189,0.2288,0.0728,0.156,2.37245,0
7,sano,mexicano,0.1588,0.058,0.1008,0.1328,0.0548,0.078,3.38155,0
7,sano,mexicano,0.1318,0.0381,0.0937,0.1098,0.0458,0.064,3.67337,0
7,sano,mexicano,0.0918,0.0295,0.0623,0.1238,0.0508,0.073,3.23521,0
7,sano,mexicano,0.0818,0.0325,0.0493,0.0888,0.0363,0.0525,2.0184,0
7,sano,mexicano,0.0888,0.0348,0.054,0.1628,0.0673,0.0955,2.61606,0
7,sano,mexicano,0.0868,0.0306,0.0562,0.1068,0.0453,0.0615,2.62808,0
7,sano,zutano,0.1478,0.0434,0.1044,0.1958,0.0703,0.1255,3.3577,0
7,sano,zutano,0.1328,0.0418,0.091,0.2298,0.0888,0.141,3.83834,0
7,sano,zutano,0.1898,0.0628,0.127,0.1958,0.0745,0.1213,4.80223,0
7,sano,zutano,0.1478,0.0501,0.0977,0.2688,0.0951,0.1737,3.64091,0
7,sano,zutano,0.1658,0.0675,0.0983,0.2098,0.0855,0.1243,4.20084,0
7,sano,zutano,0.1588,0.0486,0.1102,0.1938,0.0744,0.1194,3.53692,0
7,sano,nabal,0.1498,0.0466,0.1032,0.1938,0.0705,0.1233,3.68636,0
7,sano,nabal,0.0908,0.0317,0.0591,0.1308,0.0516,0.0792,2.75517,0
7,sano,nabal,0.1648,0.0515,0.1133,0.1638,0.0588,0.105,3.91568,0
7,sano,nabal,0.1658,0.0563,0.1095,0.1788,0.0741,0.1047,2.87971,0
7,sano,nabal,0.1218,0.0412,0.0806,0.1338,0.0515,0.0823,2.87149,0
7,sano,nabal,0.1338,0.0405,0.0933,0.1488,0.0542,0.0946,3.25284,0
8,enfermo,antillano,0.0668,0.0312,0.0356,0.1388,0.0744,0.0644,1.39383,0.6
8,enfermo,antillano,0.0408,0.0235,0.0173,0.1118,0.0658,0.046,0.3213,0.65
8,enfermo,antillano,0.0898,0.0325,0.0573,0.1538,0.07,0.0838,1.20809,0.7
8,enfermo,antillano,0.0808,0.0275,0.0533,0.1248,0.0684,0.0564,1.07712,0.65
8,enfermo,antillano,0.0818,0.0349,0.0469,0.1538,0.0915,0.0623,0.99878,0.65
8,enfermo,antillano,0.0668,0.0339,0.0329,0.1658,0.0693,0.0965,1.10575,0.7
8,enfermo,mexicano,0.0668,0.034,0.0328,0.1428,0.0593,0.0835,0.73661,0.4
8,enfermo,mexicano,0.0438,0.0255,0.0183,0.1248,0.0574,0.0674,0.99571,0.45
8,enfermo,mexicano,0.0768,0.0307,0.0461,0.1738,0.077,0.0968,1.62954,0.5
8,enfermo,mexicano,0.0538,0.0283,0.0255,0.1248,0.0621,0.0627,1.21382,0.4
8,enfermo,mexicano,0.0348,0.0195,0.0153,0.0908,0.0383,0.0525,0.42172,0.8
8,enfermo,mexicano,0.0348,0.021,0.0138,0.1018,0.0458,0.056,0.13899,0.95
8,enfermo,zutano,0.0468,0.0286,0.0182,0.1358,0.0593,0.0765,0.73123,0.5
8,enfermo,zutano,0.0488,0.0282,0.0206,0.1538,0.07,0.0838,0.75265,0.55
8,enfermo,zutano,0.0388,0.0216,0.0172,0.0988,0.0448,0.054,0.9012,0.6
8,enfermo,zutano,0.0708,0.0362,0.0346,0.1768,0.093,0.0838,0.52892,0.6
8,enfermo,zutano,0.0848,0.0391,0.0457,0.1628,0.0698,0.093,0.71966,0.55
8,enfermo,zutano,0.0448,0.0256,0.0192,0.1118,0.0492,0.0626,0.7042,0.7
8,enfermo,nabal,0.0388,0.0221,0.0167,0.0788,0.032,0.0468,0.45722,0.95
8,enfermo,nabal,0.0468,0.0288,0.018,0.0948,0.044,0.0508,0.32592,0.95
8,enfermo,nabal,0.0748,0.0401,0.0347,0.1748,0.0775,0.0973,0.74714,0.55
8,enfermo,nabal,0.0928,0.0418,0.051,0.1538,0.0778,0.076,1.13633,0.4
8,enfermo,nabal,0.0348,0.0223,0.0125,0.0838,0.0451,0.0387,0.38173,0.9
8,enfermo,nabal,0.0438,0.0244,0.0194,0.1058,0.0523,0.0535,0.30617,0.85
8,sano,antillano,0.1478,0.0462,0.1016,0.1948,0.0775,0.1173,3.26735,0
8,sano,antillano,0.1138,0.0487,0.0651,0.1868,0.089,0.0978,2.48285,0
8,sano,antillano,0.0598,0.027,0.0328,0.1468,0.0631,0.0837,0.95375,0
8,sano,antillano,0.0808,0.0343,0.0465,0.1298,0.0698,0.06,2.78783,0
8,sano,antillano,0.0978,0.0406,0.0572,0.2058,0.0984,0.1074,1.90591,0
8,sano,antillano,0.1138,0.042,0.0718,0.1698,0.0783,0.0915,2.39245,0
8,sano,mexicano,0.1118,0.0407,0.0711,0.1138,0.0631,0.0507,1.6606,0
8,sano,mexicano,0.1328,0.0446,0.0882,0.1208,0.0565,0.0643,1.88829,0
8,sano,mexicano,0.0698,0.0308,0.039,0.0968,0.0493,0.0475,1.34728,0
8,sano,mexicano,0.1208,0.0377,0.0831,0.1068,0.0562,0.0506,2.33052,0
8,sano,mexicano,0.0878,0.0325,0.0553,0.0908,0.0428,0.048,1.6359,0
8,sano,mexicano,0.1028,0.0361,0.0667,0.1248,0.0674,0.0574,1.8736,0
8,sano,zutano,0.1028,0.0393,0.0635,0.2168,0.1012,0.1156,4.80223,0
8,sano,zutano,0.1618,0.0448,0.117,0.2238,0.089,0.1348,3.3577,0
8,sano,zutano,0.1688,0.0546,0.1142,0.1548,0.0668,0.088,3.53692,0
8,sano,zutano,0.1138,0.0412,0.0726,0.1698,0.0863,0.0835,3.83834,0
8,sano,zutano,0.1088,0.0393,0.0695,0.1478,0.0632,0.0846,3.64091,0
8,sano,zutano,0.1448,0.0438,0.101,0.1618,0.091,0.0708,4.20084,0
8,sano,nabal,0.1198,0.042,0.0778,0.1648,0.0664,0.0984,3.57921,0
8,sano,nabal,0.1338,0.0436,0.0902,0.1488,0.0638,0.085,3.72587,0
8,sano,nabal,0.1468,0.0518,0.095,0.1988,0.0654,0.1334,3.52933,0
8,sano,nabal,0.1558,0.0571,0.0987,0.1898,0.0768,0.113,3.73626,0
8,sano,nabal,0.0928,0.0369,0.0559,0.1548,0.0666,0.0882,3.99924,0
8,sano,nabal,0.2268,0.0662,0.1606,0.1998,0.0808,0.119,4.25444,0
