eva,pc,var,pfr.kgr,psr.kgr,par.kgr,pfa.kgr,psa.kgr,paa.kgr,L de raices.km,dano
2,enfermo,zutano,0.0209,0.0201,0.0008,0.1031,0.0509,0.0522,1.16393,0.1
2,enfermo,nabal,0.0388,0.0213,0.0175,0.1045,0.0475,0.057,1.59135,0.2
2,enfermo,nabal,0.0286,0.0237,0.0049,0.0944,0.0462,0.0482,0.71615,0.3
2,enfermo,nabal,0.0222,0.0155,0.0067,0.0535,0.0243,0.0292,1.01551,0.2
2,enfermo,nabal,0.0276,0.0185,0.0091,0.0793,0.0379,0.0414,1.19054,0.15
2,enfermo,nabal,0.0305,0.0183,0.0122,0.1068,0.0438,0.063,1.48749,0.2
2,enfermo,nabal,0.0264,0.0168,0.0096,0.0724,0.0342,0.0382,0.75995,0.25
2,sano,antillano,0.0328,0.0203,0.0125,0.09,0.0505,0.0395,1.29333,0
2,sano,antillano,0.0459,0.027,0.0189,0.0992,0.0615,0.0377,1.78041,0
2,sano,antillano,0.0393,0.0196,0.0197,0.1056,0.0605,0.0451,1.08593,0
2,sano,antillano,0.0595,0.0237,0.0358,0.0944,0.0576,0.0368,1.54328,0
2,sano,antillano,0.031,0.0188,0.0122,0.0751,0.0416,0.0335,1.6709,0
2,sano,antillano,0.0276,0.0186,0.009,0.0698,0.0358,0.034,1.78788,0
2,sano,mexicano,0.0303,0.0218,0.0085,0.0491,0.0238,0.0253,2.97319,0
2,sano,mexicano,0.0177,0.015,0.0027,0.0538,0.0231,0.0307,2.01526,0
2,sano,mexicano,0.0215,0.0165,0.005,0.0885,0.0343,0.0542,1.94433,0
2,sano,mexicano,0.0233,0.0166,0.0067,0.0922,0.0338,0.0584,1.82468,0
2,sano,mexicano,0.0228,0.0177,0.0051,0.0606,0.0309,0.0297,1.78705,0
2,sano,mexicano,0.0228,0.0172,0.0056,0.0571,0.0266,0.0305,2.21445,0
2,sano,zutano,0.0333,0.0221,0.0112,0.1138,0.0611,0.0527,1.46293,0
2,sano,zutano,0.0238,0.0188,0.005,0.0871,0.0417,0.0454,1.45561,0
2,sano,zutano,0.022,0.0174,0.0046,0.0826,0.0377,0.0449,1.10449,0
2,sano,zutano,0.0212,0.0173,0.0039,0.1198,0.0538,0.066,1.28616,0
2,sano,zutano,0.0307,0.0231,0.0076,0.1038,0.0497,0.0541,2.07076,0
2,sano,zutano,0.0327,0.0225,0.0102,0.1138,0.0608,0.053,1.51952,0
2,sano,nabal,0.0304,0.0188,0.0116,0.0742,0.0372,0.037,1.62442,0
2,sano,nabal,0.0342,0.0207,0.0135,0.081,0.0403,0.0407,1.601,0
2,sano,nabal,0.047,0.0257,0.0213,0.1045,0.0257,0.0788,1.94714,0
2,sano,nabal,0.0276,0.0193,0.0083,0.0816,0.0193,0.0623,1.57608,0
2,sano,nabal,0.0384,0.0207,0.0177,0.0903,0.0207,0.0696,1.44708,0
2,sano,nabal,0.0278,0.0184,0.0094,0.0844,0.0184,0.066,1.60191,0
3,enfermo,antillano,0.0235,0.0158,0.0077,0.0316,0.0221,0.0095,0.65227,0.85
3,enfermo,antillano,0.0173,0.0137,0.0036,0.031,0.0274,0.0036,0.62546,0.9
3,enfermo,antillano,0.0315,0.0224,0.0091,0.025,0.0174,0.0076,0.83302,0.95
3,enfermo,antillano,0.0242,0.0158,0.0084,0.033,0.0279,0.0051,0.92197,0.75
3,enfermo,antillano,0.0394,0.0278,0.0116,0.078,0.036,0.042,1.38483,0.2
3,enfermo,antillano,0.0358,0.0233,0.0125,0.0766,0.0414,0.0352,0.83056,0.4
3,enfermo,mexicano,0.0169,0.014,0.0029,0.0356,0.0233,0.0123,0.46399,0.35
3,enfermo,mexicano,0.0201,0.0153,0.0048,0.0303,0.0265,0.0038,0.66702,0.02
3,enfermo,mexicano,0.0258,0.0186,0.0072,0.0858,0.0488,0.037,1.33149,0.01
3,enfermo,mexicano,0.0201,0.0165,0.0036,0.0609,0.0293,0.0316,1.41518,0.5
3,enfermo,mexicano,0.0268,0.0201,0.0067,0.1028,0.0452,0.0576,2.11021,0.1
3,enfermo,mexicano,0.0319,0.0283,0.0036,0.099,0.0677,0.0313,2.46303,0.05
3,enfermo,zutano,0.0553,0.0238,0.0315,0.1132,0.0471,0.0661,1.91501,0.25
3,enfermo,zutano,0.0435,0.0216,0.0219,0.1034,0.0402,0.0632,1.42921,0.2
3,enfermo,zutano,0.0277,0.0181,0.0096,0.0787,0.0365,0.0422,1.06291,0.4
3,enfermo,zutano,0.0338,0.0182,0.0156,0.0754,0.0331,0.0423,1.21871,0.25
3,enfermo,zutano,0.0315,0.0189,0.0126,0.0995,0.0524,0.0471,1.32054,0.15
3,enfermo,zutano,0.0308,0.0173,0.0135,0.0871,0.0501,0.037,0.96217,0.4
3,enfermo,nabal,0.0453,0.0278,0.0175,0.1248,0.0607,0.0641,2.37974,0.35
3,enfermo,nabal,0.0296,0.0198,0.0098,0.1488,0.0662,0.0826,1.15431,0.1
3,enfermo,nabal,0.0213,0.0153,0.006,0.0895,0.0428,0.0467,0.66766,0.35
3,enfermo,nabal,0.0388,0.0225,0.0163,0.0794,0.0461,0.0333,1.47616,0.45
3,enfermo,nabal,0.0384,0.0182,0.0202,0.0752,0.0368,0.0384,0.70944,0.35
3,enfermo,nabal,0.0299,0.0218,0.0081,0.0961,0.0478,0.0483,0.69064,0.05
3,sano,antillano,0.0263,0.0198,0.0065,0.1111,0.0458,0.0653,1.88848,0
3,sano,antillano,0.0274,0.0193,0.0081,0.1054,0.0553,0.0501,1.5719,0
3,sano,antillano,0.0483,0.0245,0.0238,0.1031,0.055,0.0481,1.94275,0
3,sano,antillano,0.0298,0.0213,0.0085,0.0935,0.045,0.0485,1.71892,0
3,sano,antillano,0.051,0.0273,0.0237,0.1159,0.0501,0.0658,1.97542,0
3,sano,antillano,0.0265,0.019,0.0075,0.1168,0.0801,0.0367,1.60524,0
3,sano,mexicano,0.0261,0.0204,0.0057,0.0954,0.0486,0.0468,1.88124,0
3,sano,mexicano,0.0258,0.0196,0.0062,0.0696,0.0318,0.0378,2.19936,0
3,sano,mexicano,0.0256,0.0199,0.0057,0.0999,0.054,0.0459,3.42009,0
3,sano,mexicano,0.0271,0.0189,0.0082,0.0905,0.0444,0.0461,2.94425,0
3,sano,mexicano,0.0286,0.0234,0.0052,0.0889,0.0472,0.0417,3.5575,0
3,sano,mexicano,0.0248,0.0122,0.0126,0.0918,0.0233,0.0685,0.40236,0
3,sano,zutano,0.028,0.0191,0.0089,0.1293,0.0494,0.0799,1.39923,0
3,sano,zutano,0.0551,0.0273,0.0278,0.1347,0.0542,0.0805,2.83145,0
3,sano,zutano,0.0405,0.0221,0.0184,0.1485,0.0413,0.1072,1.6598,0
3,sano,zutano,0.0322,0.0222,0.01,0.1513,0.0648,0.0865,1.6487,0
3,sano,zutano,0.0382,0.0226,0.0156,0.1681,0.0475,0.1206,1.87371,0
3,sano,zutano,0.0342,0.0212,0.013,0.1625,0.0455,0.117,1.92616,0
3,sano,nabal,0.032,0.021,0.011,0.0908,0.0525,0.0383,1.13418,0
3,sano,nabal,0.0269,0.0194,0.0075,0.0793,0.0417,0.0376,0.88627,0
3,sano,nabal,0.0319,0.0222,0.0097,0.0791,0.0393,0.0398,1.12538,0
3,sano,nabal,0.0341,0.0225,0.0116,0.0855,0.0375,0.048,1.53368,0
3,sano,nabal,0.0343,0.0238,0.0105,0.0878,0.0396,0.0482,1.60464,0
3,sano,nabal,0.0285,0.0197,0.0088,0.0715,0.0366,0.0349,1.24869,0
4,enfermo,antillano,0.0166,0.015,0.0016,0.0296,0.021,0.0086,0.63199,0.95
